EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,label
16.0,0,0,16.0,1,6.15,38.0,2,3,2,1
16.0,1,1,16.0,1,13.45,38.0,1,3,2,1
16.0,0,0,7.0,1,6.25,29.0,2,3,2,0
12.0,0,0,11.0,1,6.5,29.0,2,3,2,1
12.0,0,0,11.0,1,12.0,29.0,2,3,2,0
12.0,0,0,16.0,1,8.5,34.0,2,3,2,1
18.0,0,1,33.0,0,8.0,57.0,2,3,2,1
12.0,1,0,21.0,1,5.75,39.0,2,3,2,0
16.0,0,1,4.0,1,15.73,26.0,2,3,1,0
15.0,0,1,13.0,1,9.86,34.0,2,3,2,0
18.0,0,1,14.0,0,13.51,38.0,2,3,2,0
16.0,0,0,10.0,1,5.4,32.0,2,3,2,0
18.0,1,1,14.0,1,6.25,38.0,2,3,2,0
16.0,1,1,29.0,1,5.5,51.0,2,3,2,0
12.0,0,1,4.0,1,5.0,22.0,0,3,2,1
18.0,0,1,27.0,1,6.25,51.0,1,3,2,0
12.0,0,1,3.0,1,5.75,21.0,2,3,2,0
16.0,1,1,14.0,0,20.5,36.0,2,3,2,0
14.0,0,1,0.0,1,5.0,20.0,2,3,0,0
18.0,0,1,33.0,1,7.0,57.0,2,3,2,0
16.0,1,1,38.0,1,18.0,60.0,2,3,2,0
18.0,0,0,18.0,0,12.0,42.0,2,3,2,0
17.0,0,1,3.0,1,20.4,26.0,2,3,1,1
18.0,0,0,40.0,1,22.2,64.0,2,3,2,1
14.0,0,1,19.0,1,16.42,39.0,2,3,1,1
14.0,0,0,4.0,1,8.63,24.0,2,3,2,1
16.0,0,0,11.0,1,19.38,33.0,2,3,2,0
16.0,0,0,16.0,1,14.0,38.0,2,3,2,0
14.0,0,1,22.0,1,10.0,42.0,2,3,2,0
17.0,0,0,13.0,0,15.95,36.0,2,3,2,1
16.0,1,0,28.0,0,20.0,50.0,2,3,2,0
16.0,0,0,10.0,1,10.0,32.0,2,3,2,0
16.0,1,0,5.0,1,24.98,27.0,2,3,2,1
15.0,0,1,5.0,1,11.25,26.0,2,3,2,1
18.0,0,0,37.0,1,22.83,61.0,2,3,1,1
17.0,0,0,26.0,0,10.2,49.0,2,3,2,0
16.0,1,0,4.0,1,10.0,26.0,2,3,2,0
18.0,0,0,31.0,0,14.0,55.0,2,3,2,1
17.0,0,0,13.0,0,12.5,36.0,2,3,2,0
12.0,0,0,42.0,1,5.79,60.0,2,3,2,0
17.0,0,1,18.0,1,24.98,41.0,0,3,2,0
12.0,0,0,3.0,1,4.35,21.0,2,3,2,0
17.0,0,0,10.0,1,11.25,33.0,2,3,2,1
16.0,0,0,10.0,0,6.67,32.0,2,3,2,1
16.0,0,0,17.0,1,8.0,39.0,0,3,2,0
18.0,0,1,7.0,1,18.16,31.0,2,3,2,0
16.0,0,0,14.0,1,12.0,36.0,2,3,2,0
16.0,0,0,22.0,0,8.89,44.0,2,3,2,0
17.0,0,0,14.0,1,9.5,37.0,2,3,2,0
16.0,0,1,11.0,1,13.65,33.0,2,3,2,0
18.0,0,1,23.0,0,12.0,47.0,2,3,2,0
12.0,0,1,39.0,0,15.0,57.0,2,3,2,0
16.0,0,1,15.0,1,12.67,37.0,2,3,2,0
14.0,0,0,15.0,1,7.38,35.0,0,3,2,1
16.0,0,1,10.0,1,15.56,32.0,2,3,2,1
12.0,1,0,25.0,1,7.45,43.0,2,3,2,1
14.0,0,0,12.0,1,6.25,32.0,2,3,2,0
16.0,1,0,7.0,1,6.25,29.0,0,3,2,0
17.0,0,1,7.0,0,9.37,30.0,2,3,2,0
16.0,0,1,17.0,1,22.5,39.0,2,3,1,0
16.0,0,1,10.0,0,7.5,32.0,2,3,2,0
17.0,1,1,2.0,1,7.0,25.0,2,3,2,0
9.0,1,0,34.0,0,5.75,49.0,1,3,2,0
15.0,0,0,11.0,1,7.67,32.0,2,3,2,0
15.0,0,1,10.0,1,12.5,31.0,2,3,2,1
12.0,1,1,12.0,1,16.0,30.0,2,3,2,0
16.0,0,0,6.0,0,11.79,28.0,2,3,2,1
18.0,0,1,5.0,1,11.36,29.0,2,3,2,1
12.0,0,0,33.0,1,6.1,51.0,1,3,2,0
17.0,0,0,25.0,0,23.25,48.0,1,3,2,0
12.0,1,1,13.0,0,19.88,31.0,2,3,2,0
16.0,0,1,33.0,1,15.38,55.0,2,3,1,0
