EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,MARR,AGE,RACE,OCCUPATION,SECTOR,label
16.0,0,0,16.0,1,1,38.0,2,3,2,6.15
16.0,1,1,16.0,1,1,38.0,1,3,2,13.45
16.0,0,0,7.0,1,0,29.0,2,3,2,6.25
12.0,0,0,11.0,1,1,29.0,2,3,2,6.5
12.0,0,0,11.0,1,0,29.0,2,3,2,12.0
12.0,0,0,16.0,1,1,34.0,2,3,2,8.5
18.0,0,1,33.0,0,1,57.0,2,3,2,8.0
12.0,1,0,21.0,1,0,39.0,2,3,2,5.75
16.0,0,1,4.0,1,0,26.0,2,3,1,15.73
15.0,0,1,13.0,1,0,34.0,2,3,2,9.86
18.0,0,1,14.0,0,0,38.0,2,3,2,13.51
16.0,0,0,10.0,1,0,32.0,2,3,2,5.4
18.0,1,1,14.0,1,0,38.0,2,3,2,6.25
16.0,1,1,29.0,1,0,51.0,2,3,2,5.5
12.0,0,1,4.0,1,1,22.0,0,3,2,5.0
18.0,0,1,27.0,1,0,51.0,1,3,2,6.25
12.0,0,1,3.0,1,0,21.0,2,3,2,5.75
16.0,1,1,14.0,0,0,36.0,2,3,2,20.5
14.0,0,1,0.0,1,0,20.0,2,3,0,5.0
18.0,0,1,33.0,1,0,57.0,2,3,2,7.0
16.0,1,1,38.0,1,0,60.0,2,3,2,18.0
18.0,0,0,18.0,0,0,42.0,2,3,2,12.0
17.0,0,1,3.0,1,1,26.0,2,3,1,20.4
18.0,0,0,40.0,1,1,64.0,2,3,2,22.2
14.0,0,1,19.0,1,1,39.0,2,3,1,16.42
14.0,0,0,4.0,1,1,24.0,2,3,2,8.63
16.0,0,0,11.0,1,0,33.0,2,3,2,19.38
16.0,0,0,16.0,1,0,38.0,2,3,2,14.0
14.0,0,1,22.0,1,0,42.0,2,3,2,10.0
17.0,0,0,13.0,0,1,36.0,2,3,2,15.95
16.0,1,0,28.0,0,0,50.0,2,3,2,20.0
16.0,0,0,10.0,1,0,32.0,2,3,2,10.0
16.0,1,0,5.0,1,1,27.0,2,3,2,24.98
15.0,0,1,5.0,1,1,26.0,2,3,2,11.25
18.0,0,0,37.0,1,1,61.0,2,3,1,22.83
17.0,0,0,26.0,0,0,49.0,2,3,2,10.2
16.0,1,0,4.0,1,0,26.0,2,3,2,10.0
18.0,0,0,31.0,0,1,55.0,2,3,2,14.0
17.0,0,0,13.0,0,0,36.0,2,3,2,12.5
12.0,0,0,42.0,1,0,60.0,2,3,2,5.79
17.0,0,1,18.0,1,0,41.0,0,3,2,24.98
12.0,0,0,3.0,1,0,21.0,2,3,2,4.35
17.0,0,0,10.0,1,1,33.0,2,3,2,11.25
16.0,0,0,10.0,0,1,32.0,2,3,2,6.67
16.0,0,0,17.0,1,0,39.0,0,3,2,8.0
18.0,0,1,7.0,1,0,31.0,2,3,2,18.16
16.0,0,0,14.0,1,0,36.0,2,3,2,12.0
16.0,0,0,22.0,0,0,44.0,2,3,2,8.89
17.0,0,0,14.0,1,0,37.0,2,3,2,9.5
16.0,0,1,11.0,1,0,33.0,2,3,2,13.65
18.0,0,1,23.0,0,0,47.0,2,3,2,12.0
12.0,0,1,39.0,0,0,57.0,2,3,2,15.0
16.0,0,1,15.0,1,0,37.0,2,3,2,12.67
14.0,0,0,15.0,1,1,35.0,0,3,2,7.38
16.0,0,1,10.0,1,1,32.0,2,3,2,15.56
12.0,1,0,25.0,1,1,43.0,2,3,2,7.45
14.0,0,0,12.0,1,0,32.0,2,3,2,6.25
16.0,1,0,7.0,1,0,29.0,0,3,2,6.25
17.0,0,1,7.0,0,0,30.0,2,3,2,9.37
16.0,0,1,17.0,1,0,39.0,2,3,1,22.5
16.0,0,1,10.0,0,0,32.0,2,3,2,7.5
17.0,1,1,2.0,1,0,25.0,2,3,2,7.0
9.0,1,0,34.0,0,0,49.0,1,3,2,5.75
15.0,0,0,11.0,1,0,32.0,2,3,2,7.67
15.0,0,1,10.0,1,1,31.0,2,3,2,12.5
12.0,1,1,12.0,1,0,30.0,2,3,2,16.0
16.0,0,0,6.0,0,1,28.0,2,3,2,11.79
18.0,0,1,5.0,1,1,29.0,2,3,2,11.36
12.0,0,0,33.0,1,0,51.0,1,3,2,6.1
17.0,0,0,25.0,0,0,48.0,1,3,2,23.25
12.0,1,1,13.0,0,0,31.0,2,3,2,19.88
16.0,0,1,33.0,1,0,55.0,2,3,1,15.38
